ID	Batiment	Momentjour	Face	Emplacement	Bait	Age_building	Date	Start_sampling	V_richness	Tunder_mean	Tground_mean	Light_mean
S1morningNA1miel	S1	morning	N	A1	miel	4	1	20	M	18.7	18.7	657
S1morningNA1thon	S1	morning	N	A1	thon	4	1	20	M	18.7	18.7	657
S1morningNA2miel	S1	morning	N	A2	miel	4	1	20	M	18.7	18.7	657
S1morningNA2thon	S1	morning	N	A2	thon	4	1	20	M	18.7	18.7	657
S1morningNA3miel	S1	morning	N	A3	miel	4	1	20	M	18.7	18.7	657
S1morningNA3thon	S1	morning	N	A3	thon	4	1	20	M	18.7	18.7	657
S1morningNA4miel	S1	morning	N	A4	miel	4	1	20	M	18.7	18.7	657
S1morningNA4thon	S1	morning	N	A4	thon	4	1	20	M	18.7	18.7	657
S1morningNA5miel	S1	morning	N	A5	miel	4	1	20	M	18.7	18.7	657
S1morningNA5thon	S1	morning	N	A5	thon	4	1	20	M	18.7	18.7	657
S1morningNB1miel	S1	morning	N	B1	miel	4	1	20	M	18.7	18.7	657
S1morningNB1thon	S1	morning	N	B1	thon	4	1	20	M	18.7	18.7	657
S1morningNB2miel	S1	morning	N	B2	miel	4	1	20	M	18.7	18.7	657
S1morningNB2thon	S1	morning	N	B2	thon	4	1	20	M	18.7	18.7	657
S1morningNB3miel	S1	morning	N	B3	miel	4	1	20	M	18.7	18.7	657
S1morningNB3thon	S1	morning	N	B3	thon	4	1	20	M	18.7	18.7	657
S1morningNB4miel	S1	morning	N	B4	miel	4	1	20	M	18.7	18.7	657
S1morningNB4thon	S1	morning	N	B4	thon	4	1	20	M	18.7	18.7	657
S1morningNB5miel	S1	morning	N	B5	miel	4	1	20	M	18.7	18.7	657
S1morningNB5thon	S1	morning	N	B5	thon	4	1	20	M	18.7	18.7	657
S1morningEA1miel	S1	morning	E	A1	miel	4	1	20	L	17.3	17.3	42
S1morningEA1thon	S1	morning	E	A1	thon	4	1	20	L	17.3	17.3	42
